title,director,actors,year,genre
WALL·E,Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger']",2008,['Animation']
Rush Hour 3,Brett Ratner,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada', 'Max von Sydow', 'Yvan Attal']",2007,['Action']
2012,Roland Emmerich,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor', 'Thandie Newton', 'Oliver Platt']",2009,['Action']
A Christmas Carol,Robert Zemeckis,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine', 'Daryl Sabara', 'Sage Ryan']",2009,['Animation']
Jupiter Ascending,Lilly Wachowski,"['Mila Kunis', 'Channing Tatum', 'Sean Bean', 'Eddie Redmayne', 'Douglas Booth']",2015,['Science Fiction']
The Legend of Tarzan,David Yates,"['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz', 'Samuel L. Jackson', 'Djimon Hounsou']",2016,['Action']
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,"['William Moseley', 'Anna Popplewell', 'Skandar Keynes', 'Georgie Henley', 'Liam Neeson']",2005,['Adventure']
X-Men: Apocalypse,Bryan Singer,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Oscar Isaac']",2016,['Science Fiction']
The Dark Knight,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal']",2008,['Drama']
Up,Pete Docter,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai', 'Bob Peterson', 'Delroy Lindo']",2009,['Animation']
Monsters vs Aliens,Conrad Vernon,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie', 'Paul Rudd', 'Kiefer Sutherland']",2009,['Animation']
Iron Man,Jon Favreau,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Shaun Toub', 'Gwyneth Paltrow']",2008,['Action']
Hugo,Martin Scorsese,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield', 'Chloë Grace Moretz', 'Ray Winstone']",2011,['Adventure']
Wild Wild West,Barry Sonnenfeld,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh', 'Salma Hayek', 'M. Emmet Walsh']",1999,['Action']
The Mummy: Tomb of the Dragon Emperor,Rob Cohen,"['Brendan Fraser', 'Jet Li', 'John Hannah', 'Maria Bello', 'Luke Ford']",2008,['Adventure']
Suicide Squad,David Ayer,"['Will Smith', 'Margot Robbie', 'Joel Kinnaman', 'Viola Davis', 'Jared Leto']",2016,['Action']
Evan Almighty,Tom Shadyac,"['Steve Carell', 'Lauren Graham', 'John Goodman', 'Jimmy Bennett', 'John Michael Higgins']",2007,['Fantasy']
Edge of Tomorrow,Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson', 'Bill Paxton', 'Jonas Armstrong']",2014,['Action']
Waterworld,Kevin Reynolds,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles', 'R. D. Call', 'Zitto Kazann']",1995,['Adventure']
G.I. Joe: The Rise of Cobra,Stephen Sommers,"['Dennis Quaid', 'Channing Tatum', 'Marlon Wayans', 'Sienna Miller', 'Joseph Gordon-Levitt']",2009,['Adventure']
Inside Out,Pete Docter,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader', 'Lewis Black']",2015,['Drama']
The Jungle Book,Jon Favreau,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley', 'Idris Elba', 'Scarlett Johansson']",2016,['Family']
Iron Man 2,Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Mickey Rourke']",2010,['Adventure']
Snow White and the Huntsman,Rupert Sanders,"['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth', 'Sam Claflin', 'Ian McShane']",2012,['Adventure']
Maleficent,Robert Stromberg,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley', 'Sam Riley', 'Juno Temple']",2014,['Fantasy']
Dawn of the Planet of the Apes,Matt Reeves,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman', 'Keri Russell', 'Toby Kebbell']",2014,['Science Fiction']
The Lovers,Roland Joffé,"['Josh Hartnett', 'Simone Kessell', 'Tamsin Egerton', 'Alice Englert', 'Bipasha Basu']",2015,['Action']
47 Ronin,Carl Rinsch,"['Keanu Reeves', 'Hiroyuki Sanada', 'Kou Shibasaki', 'Tadanobu Asano', 'Min Tanaka']",2013,['Drama']
Captain America: The Winter Soldier,Anthony Russo,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Robert Redford', 'Sebastian Stan']",2014,['Action']
Shrek Forever After,Mike Mitchell,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Antonio Banderas', 'Julie Andrews']",2010,['Comedy']
Tomorrowland,Brad Bird,"['Britt Robertson', 'George Clooney', 'Raffey Cassidy', 'Thomas Robinson', 'Hugh Laurie']",2015,['Adventure']
Big Hero 6,Chris Williams,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney', 'T.J. Miller', 'Jamie Chung']",2014,['Adventure']
Wreck-It Ralph,Rich Moore,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer', 'Jane Lynch', 'Alan Tudyk']",2012,['Family']
The Polar Express,Robert Zemeckis,"['Tom Hanks', 'Michael Jeter', 'Nona Gaye', 'Peter Scolari', 'Eddie Deezen']",2004,['Adventure']
Independence Day: Resurgence,Roland Emmerich,"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman', 'Maika Monroe', 'Sela Ward']",2016,['Action']
How to Train Your Dragon,Chris Sanders,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill']",2010,['Fantasy']
Terminator 3: Rise of the Machines,Jonathan Mostow,"['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes', 'Kristanna Loken', 'David Andrews']",2003,['Action']
Guardians of the Galaxy,James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper']",2014,['Action']
Interstellar,Christopher Nolan,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway', 'Michael Caine', 'Casey Affleck']",2014,['Adventure']
Inception,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Tom Hardy', 'Ken Watanabe']",2010,['Action']
Shin Godzilla,Hideaki Anno,"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara', 'Kengo Kora', 'Matsuo Satoru']",2016,['Action']
The Hobbit: An Unexpected Journey,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Andy Serkis', 'Cate Blanchett']",2012,['Adventure']
The Fast and the Furious,Rob Cohen,"['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster', 'Rick Yune']",2001,['Action']
The Curious Case of Benjamin Button,David Fincher,"['Cate Blanchett', 'Brad Pitt', 'Tilda Swinton', 'Julia Ormond', 'Elle Fanning']",2008,['Fantasy']
X-Men: First Class,Matthew Vaughn,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Kevin Bacon', 'Rose Byrne']",2011,['Action']
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks']",2015,['Action']
The Sorcerer's Apprentice,Jon Turteltaub,"['Nicolas Cage', 'Jay Baruchel', 'Monica Bellucci', 'Alfred Molina', 'Teresa Palmer']",2010,['Fantasy']
Poseidon,Wolfgang Petersen,"['Kurt Russell', 'Richard Dreyfuss', 'Josh Lucas', 'Jacinda Barrett', 'Emmy Rossum']",2006,['Adventure']
Alice Through the Looking Glass,James Bobin,"['Johnny Depp', 'Mia Wasikowska', 'Anne Hathaway', 'Helena Bonham Carter', 'Alan Rickman']",2016,['Fantasy']
Shrek the Third,Chris Miller,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Julie Andrews', 'Antonio Banderas']",2007,['Fantasy']
Warcraft,Duncan Jones,"['Paula Patton', 'Travis Fimmel', 'Ben Foster', 'Robert Kazinsky', 'Dominic Cooper']",2016,['Action']
Terminator Genisys,Alan Taylor,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke', 'Jai Courtney', 'J.K. Simmons']",2015,['Science Fiction']
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,"['Skandar Keynes', 'Georgie Henley', 'Simon Pegg', 'Gary Sweet', 'Arthur Angel']",2010,['Adventure']
Pearl Harbor,Michael Bay,"['Ben Affleck', 'Josh Hartnett', 'Kate Beckinsale', 'Cuba Gooding Jr.', 'Jon Voight']",2001,['History']
Transformers,Michael Bay,"['Shia LaBeouf', 'Josh Duhamel', 'Megan Fox', 'Rachael Taylor', 'Tyrese Gibson']",2007,['Adventure']
Alexander,Oliver Stone,"['Colin Farrell', 'Angelina Jolie', 'Val Kilmer', 'Jared Leto', 'Jonathan Rhys Meyers']",2004,['War']
Harry Potter and the Order of the Phoenix,David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Michael Gambon', 'Ralph Fiennes']",2007,['Adventure']
Harry Potter and the Goblet of Fire,Mike Newell,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Ralph Fiennes', 'Michael Gambon']",2005,['Adventure']
Hancock,Peter Berg,"['Will Smith', 'Charlize Theron', 'Jason Bateman', 'Jae Head', 'Eddie Marsan']",2008,['Fantasy']
I Am Legend,Francis Lawrence,"['Will Smith', 'Alice Braga', 'Charlie Tahan', 'Salli Richardson-Whitfield', 'Willow Smith']",2007,['Drama']
Charlie and the Chocolate Factory,Tim Burton,"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'AnnaSophia Robb', 'Julia Winter']",2005,['Adventure']
Ratatouille,Jan Pinkava,"['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Brian Dennehy', 'Peter Sohn']",2007,['Animation']
Batman Begins,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman']",2005,['Action']
Madagascar: Escape 2 Africa,Eric Darnell,"['Ben Stiller', 'Jada Pinkett Smith', 'David Schwimmer', 'Chris Rock', 'Cedric the Entertainer']",2008,['Family']
Night at the Museum: Battle of the Smithsonian,Shawn Levy,"['Ben Stiller', 'Amy Adams', 'Owen Wilson', 'Hank Azaria', 'Robin Williams']",2009,['Adventure']
X-Men Origins: Wolverine,Gavin Hood,"['Hugh Jackman', 'Liev Schreiber', 'Danny Huston', 'Lynn Collins', 'Ryan Reynolds']",2009,['Adventure']
The Matrix Revolutions,Lilly Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Mary Alice']",2003,['Adventure']
Frozen,Chris Buck,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad', 'Santino Fontana']",2013,['Animation']
The Matrix Reloaded,Lilly Wachowski,"['Keanu Reeves', 'Carrie-Anne Moss', 'Laurence Fishburne', 'Hugo Weaving', 'Helmut Bakaitis']",2003,['Adventure']
Thor: The Dark World,Alan Taylor,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Christopher Eccleston']",2013,['Action']
Mad Max: Fury Road,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Josh Helman']",2015,['Action']
Angels & Demons,Ron Howard,"['Tom Hanks', 'Ewan McGregor', 'Ayelet Zurer', 'Stellan Skarsgård', 'Pierfrancesco Favino']",2009,['Thriller']
Thor,Kenneth Branagh,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård']",2011,['Adventure']
Bolt,Chris Williams,"['John Travolta', 'Miley Cyrus', 'Susie Essman', 'Mark Walton', 'Malcolm McDowell']",2008,['Animation']
G-Force,Hoyt Yeatman,"['Sam Rockwell', 'Penélope Cruz', 'Tracy Morgan', 'Jon Favreau', 'Steve Buscemi']",2009,['Fantasy']
Wrath of the Titans,Jonathan Liebesman,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes', 'Edgar Ramírez', 'Toby Kebbell']",2012,['Adventure']
Dark Shadows,Tim Burton,"['Johnny Depp', 'Michelle Pfeiffer', 'Helena Bonham Carter', 'Jackie Earle Haley', 'Jonny Lee Miller']",2012,['Comedy']
Mission: Impossible - Rogue Nation,Christopher McQuarrie,"['Tom Cruise', 'Rebecca Ferguson', 'Simon Pegg', 'Jeremy Renner', 'Ving Rhames']",2015,['Action']
The Wolfman,Joe Johnston,"['Benicio del Toro', 'Anthony Hopkins', 'Emily Blunt', 'Hugo Weaving', 'Cristina Contes']",2010,['Drama']
Bee Movie,Steve Hickner,"['Jerry Seinfeld', 'Renée Zellweger', 'Jim Cummings', 'Matthew Broderick', 'Patrick Warburton']",2007,['Family']
Kung Fu Panda 2,Jennifer Yuh Nelson,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman', 'Gary Oldman', 'Jackie Chan']",2011,['Animation']
The Last Airbender,M. Night Shyamalan,"['Noah Ringer', 'Nicola Peltz', 'Jackson Rathbone', 'Dev Patel', 'Shaun Toub']",2010,['Action']
Mission: Impossible III,J.J. Abrams,"['Tom Cruise', 'Philip Seymour Hoffman', 'Ving Rhames', 'Billy Crudup', 'Jonathan Rhys Meyers']",2006,['Adventure']
White House Down,Roland Emmerich,"['Channing Tatum', 'Jamie Foxx', 'Joey King', 'Maggie Gyllenhaal', 'Richard Jenkins']",2013,['Action']
Mars Needs Moms,Simon Wells,"['Seth Green', 'Joan Cusack', 'Dan Fogler', 'Breckin Meyer', 'Elisabeth Harnois']",2011,['Adventure']
Flushed Away,David Bowers,"['Hugh Jackman', 'Kate Winslet', 'Ian McKellen', 'Jean Reno', 'Bill Nighy']",2006,['Adventure']
Pan,Joe Wright,"['Levi Miller', 'Garrett Hedlund', 'Hugh Jackman', 'Rooney Mara', 'Amanda Seyfried']",2015,['Adventure']
Mr. Peabody & Sherman,Rob Minkoff,"['Ty Burrell', 'Max Charles', 'Ariel Winter', 'Allison Janney', 'Ellie Kemper']",2014,['Animation']
Troy,Wolfgang Petersen,"['Brad Pitt', 'Orlando Bloom', 'Eric Bana', 'Brian Cox', 'Sean Bean']",2004,['Adventure']
Madagascar 3: Europe's Most Wanted,Conrad Vernon,"['Ben Stiller', 'Sacha Baron Cohen', 'David Schwimmer', 'Frances McDormand', 'Chris Rock']",2012,['Animation']
Die Another Day,Lee Tamahori,"['Pierce Brosnan', 'Halle Berry', 'Rosamund Pike', 'Rick Yune', 'Toby Stephens']",2002,['Adventure']
Ghostbusters,Paul Feig,"['Melissa McCarthy', 'Kristen Wiig', 'Kate McKinnon', 'Leslie Jones', 'Chris Hemsworth']",2016,['Action']
Armageddon,Michael Bay,"['Bruce Willis', 'Billy Bob Thornton', 'Ben Affleck', 'Liv Tyler', 'Will Patton']",1998,['Action']
Men in Black II,Barry Sonnenfeld,"['Tommy Lee Jones', 'Will Smith', 'Rip Torn', 'Lara Flynn Boyle', 'Johnny Knoxville']",2002,['Action']
Beowulf,Robert Zemeckis,"['Ray Winstone', 'Angelina Jolie', 'Anthony Hopkins', 'Robin Wright', 'John Malkovich']",2007,['Adventure']
Kung Fu Panda 3,Jennifer Yuh Nelson,"['Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie', 'J.K. Simmons']",2016,['Action']
Mission: Impossible - Ghost Protocol,Brad Bird,"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Paula Patton', 'Anil Kapoor']",2011,['Action']
Rise of the Guardians,Peter Ramsey,"['Chris Pine', 'Alec Baldwin', 'Jude Law', 'Isla Fisher', 'Hugh Jackman']",2012,['Fantasy']
Fun with Dick and Jane,Dean Parisot,"['Jim Carrey', 'Téa Leoni', 'Alec Baldwin', 'Richard Jenkins', 'Angie Harmon']",2005,['Comedy']
The Last Samurai,Edward Zwick,"['Tom Cruise', 'Ken Watanabe', 'William Atherton', 'Chad Lindberg', 'Billy Connolly']",2003,['Drama']
Exodus: Gods and Kings,Ridley Scott,"['Christian Bale', 'Joel Edgerton', 'John Turturro', 'Aaron Paul', 'Ben Mendelsohn']",2014,['Adventure']
Star Trek,J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Leonard Nimoy', 'Eric Bana', 'Bruce Greenwood']",2009,['Science Fiction']
Spider-Man,Sam Raimi,"['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst', 'James Franco', 'Cliff Robertson']",2002,['Fantasy']
How to Train Your Dragon 2,Dean DeBlois,"['Jay Baruchel', 'Gerard Butler', 'Kristen Wiig', 'Jonah Hill', 'Cate Blanchett']",2014,['Fantasy']
Gods of Egypt,Alex Proyas,"['Brenton Thwaites', 'Nikolaj Coster-Waldau', 'Gerard Butler', 'Courtney Eaton', 'Elodie Yung']",2016,['Fantasy']
Stealth,Rob Cohen,"['Josh Lucas', 'Jessica Biel', 'Jamie Foxx', 'Sam Shepard', 'Richard Roxburgh']",2005,['Action']
Watchmen,Zack Snyder,"['Malin Åkerman', 'Billy Crudup', 'Carla Gugino', 'Jeffrey Dean Morgan', 'Patrick Wilson']",2009,['Action']
Lethal Weapon 4,Richard Donner,"['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Rene Russo', 'Jet Li']",1998,['Action']
Hulk,Ang Lee,"['Eric Bana', 'Jennifer Connelly', 'Sam Elliott', 'Josh Lucas', 'Nick Nolte']",2003,['Drama']
G.I. Joe: Retaliation,Jon M. Chu,"['Dwayne Johnson', 'D.J. Cotrona', 'Adrianne Palicki', 'Bruce Willis', 'Ray Park']",2013,['Adventure']
Sahara,Breck Eisner,"['Matthew McConaughey', 'Penélope Cruz', 'Steve Zahn', 'William H. Macy', 'Lennie James']",2005,['Action']
Final Fantasy: The Spirits Within,Hironobu Sakaguchi,"['Donald Sutherland', 'Ming-Na Wen', 'Alec Baldwin', 'Ving Rhames', 'Steve Buscemi']",2001,['Adventure']
Captain America: The First Avenger,Joe Johnston,"['Chris Evans', 'Hugo Weaving', 'Tommy Lee Jones', 'Hayley Atwell', 'Sebastian Stan']",2011,['Action']
